Source apportionment for 150 cities
commit BD handover version 23 March 2020
emissions cdf = ../20220601_01_005/BCemis_emepV434_camsV42_01_005_bugSOxGNFr3ok.nc
concentrations cdf = ../20220601_01_005/BCconc_emepV434_camsv42_01005_SURF_ug_PM25_rh50.nc
model folder = ../20220601_01_005/SR_SURF_ug_PM25_rh50.nc
model;pollutant;target;source;snap;precursor;potential;relative_potential;potency;target_conc_basecase;delta_conc;DE
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_Comm;10;SOx;1.583934e-05;1.715108e-04;5.179250e-05;9.235185e+00;7.919670e-06;1.529115e-01
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_Comm;11;NH3;2.724425e-03;2.950049e-02;1.123066e-04;9.235185e+00;1.362212e-03;1.212941e+01
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_Comm;11;NMVOC;0.000000e+00;0.000000e+00;nan;9.235185e+00;0.000000e+00;nan
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_Comm;11;NOx;0.000000e+00;0.000000e+00;nan;9.235185e+00;0.000000e+00;nan
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_Comm;11;PPM25;2.310289e-05;2.501616e-04;2.535004e-04;9.235185e+00;1.155145e-05;4.556776e-02
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_Comm;11;SOx;0.000000e+00;0.000000e+00;nan;9.235185e+00;0.000000e+00;nan
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_Comm;12;NH3;1.102312e-02;1.193601e-01;1.095309e-04;9.235185e+00;5.511562e-03;5.031971e+01
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_Comm;12;NMVOC;3.243985e-05;3.512636e-04;1.385178e-06;9.235185e+00;1.621992e-05;1.170963e+01
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_Comm;12;NOx;2.007425e-08;2.173671e-07;1.841417e-05;9.235185e+00;1.003713e-08;5.450763e-04
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_Comm;12;PPM25;4.536156e-05;4.911819e-04;2.601791e-04;9.235185e+00;2.268078e-05;8.717371e-02
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_Comm;12;SOx;7.225020e-09;7.823363e-08;4.768016e-05;9.235185e+00;3.612510e-09;7.576548e-05
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_Comm;1;NH3;1.234465e-05;1.336698e-04;1.118627e-04;9.235185e+00;6.172326e-06;5.517768e-02
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_Comm;1;NMVOC;7.376826e-07;7.987741e-06;1.365095e-06;9.235185e+00;3.688413e-07;2.701946e-01
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_Comm;1;NOx;3.578767e-05;3.875144e-04;1.617405e-05;9.235185e+00;1.789384e-05;1.106330e+00
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_Comm;1;PPM25;1.901045e-04;2.058480e-03;2.684723e-04;9.235185e+00;9.505223e-05;3.540486e-01
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_Comm;1;SOx;6.037273e-05;6.537252e-04;4.821147e-05;9.235185e+00;3.018636e-05;6.261240e-01
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_Comm;2;NH3;2.320499e-04;2.512672e-03;1.198913e-04;9.235185e+00;1.160249e-04;9.677511e-01
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_Comm;2;NMVOC;4.253788e-04;4.606068e-03;1.789271e-06;9.235185e+00;2.126894e-04;1.188693e+02
